Serial No,Names,URL
1,Ibrahim al-Fazari,https://en.wikipedia.org/wiki/Ibrahim_al-Fazari
2,Muhammad al-Fazari,https://en.wikipedia.org/wiki/Muhammad_al-Fazari
3,Sanad ibn Ali,https://en.wikipedia.org/wiki/Sind_ibn_Ali
4,Dīnawarī,https://en.wikipedia.org/wiki/Ab%C5%AB_%E1%B8%A4an%C4%ABfa_D%C4%ABnawar%C4%AB
5,Banū Mūsā,https://en.wikipedia.org/wiki/Ban%C5%AB_M%C5%ABs%C4%81
6,Abu Sa'id Gorgani,https://en.wikipedia.org/wiki/Abu_Sa%27id_Gorgani
7,Abū Ja'far al-Khāzin,https://en.wikipedia.org/wiki/Ab%C5%AB_Ja%27far_al-Kh%C4%81zin
8,Abd Al-Rahman Al Sufi,https://en.wikipedia.org/wiki/Abd_Al-Rahman_Al_Sufi
9,Al-Saghani,https://en.wikipedia.org/wiki/Al-Saghani
10,Abū al-Wafā' al-Būzjānī,https://en.wikipedia.org/wiki/Ab%C5%AB_al-Waf%C4%81%27_al-B%C5%ABzj%C4%81n%C4%AB
11,Abū Sahl al-Qūhī,https://en.wikipedia.org/wiki/Ab%C5%AB_Sahl_al-Q%C5%ABh%C4%AB
12,Abu-Mahmud al-Khujandi,https://en.wikipedia.org/wiki/Abu-Mahmud_al-Khujandi
13,Al-Majriti,https://en.wikipedia.org/wiki/Al-Majriti
14,Kushyar ibn Labban,https://en.wikipedia.org/wiki/Kushyar_ibn_Labban
15,Al-Bīrūnī,https://en.wikipedia.org/wiki/Ab%C5%AB_Rayh%C4%81n_al-B%C4%ABr%C5%ABn%C4%AB
16,Abū Ishāq Ibrāhīm al-Zarqālī,https://en.wikipedia.org/wiki/Ab%C5%AB_Ish%C4%81q_Ibr%C4%81h%C4%ABm_al-Zarq%C4%81l%C4%AB
17,Omar Khayyám,https://en.wikipedia.org/wiki/Omar_Khayy%C3%A1m
18,Ibn Bajjah,https://en.wikipedia.org/wiki/Ibn_Bajjah
19,Ibn Tufail,https://en.wikipedia.org/wiki/Ibn_Tufail
20,Nur ad-Din al-Bitruji,https://en.wikipedia.org/wiki/Nur_Ed-Din_Al_Betrugi
21,Sharaf al-Dīn al-Tūsī,https://en.wikipedia.org/wiki/Sharaf_al-D%C4%ABn_al-T%C5%ABs%C4%AB
22,Mu'ayyad al-Din al-'Urdi,https://en.wikipedia.org/wiki/Mu%27ayyad_al-Din_al-%27Urdi
23,Nasir al-Din Tusi,https://en.wikipedia.org/wiki/Nasir_al-Din_Tusi
24,Shams al-Dīn al-Samarqandī,https://en.wikipedia.org/wiki/Shams_al-D%C4%ABn_al-Samarqand%C4%AB
25,Shams al-Dīn Abū Abd Allāh al-Khalīlī,https://en.wikipedia.org/wiki/Shams_al-D%C4%ABn_Ab%C5%AB_Abd_All%C4%81h_al-Khal%C4%ABl%C4%AB
26,Jamshīd al-Kāshī,https://en.wikipedia.org/wiki/Jamsh%C4%ABd_al-K%C4%81sh%C4%AB
27,clinical psychiatry,https://en.wikipedia.org/wiki/Clinical_psychiatry
28,Ahmed ibn Sahl al-Balkhi,https://en.wikipedia.org/wiki/Ahmed_ibn_Sahl_al-Balkhi
29,Abu al-Qasim al-Zahrawi,https://en.wikipedia.org/wiki/Abu_al-Qasim_al-Zahrawi
30,reaction time,https://en.wikipedia.org/wiki/Reaction_time
31,Khalid ibn Yazid,https://en.wikipedia.org/wiki/Calid
32,Jafar al-Sadiq,https://en.wikipedia.org/wiki/Jafar_al-Sadiq
33,Jābir ibn Hayyān,https://en.wikipedia.org/wiki/J%C4%81bir_ibn_Hayy%C4%81n
34,Al-Khwārizmī,https://en.wikipedia.org/wiki/Al-Khw%C4%81rizm%C4%AB
35,Abbas Ibn Firnas,https://en.wikipedia.org/wiki/Abbas_Ibn_Firnas
36,Ibn Miskawayh,https://en.wikipedia.org/wiki/Ibn_Miskawayh
37,Abū Rayhān al-Bīrūnī,https://en.wikipedia.org/wiki/Ab%C5%AB_Rayh%C4%81n_al-B%C4%ABr%C5%ABn%C4%AB
38,Abu Hanifa an-Nu‘man,https://en.wikipedia.org/wiki/Abu_Hanifa_an-Nu%E2%80%98man
39,Nasīr al-Dīn al-Tūsī,https://en.wikipedia.org/wiki/Nas%C4%ABr_al-D%C4%ABn_al-T%C5%ABs%C4%AB
40,social sciences,https://en.wikipedia.org/wiki/Social_sciences
41,Ibn Al-Jazzar,https://en.wikipedia.org/wiki/Ibn_Al-Jazzar
42,Al-Tamimi,https://en.wikipedia.org/wiki/Al-Tamimi
43,Al-Masihi,https://en.wikipedia.org/wiki/Al-Masihi
44,cartographer,https://en.wikipedia.org/wiki/Cartographer
45,Abd al-Latif al-Baghdadi,https://en.wikipedia.org/wiki/Abd_al-Latif_al-Baghdadi_(medieval_writer)
46,Al-Hajjāj ibn Yūsuf ibn Matar,https://en.wikipedia.org/wiki/Al-Hajj%C4%81j_ibn_Y%C5%ABsuf_ibn_Matar
